Document,Transcription,Consignment,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5,Owner Name 1,Owner Name 2,Owner Name 3,Owner Name 4,Owner Name 5,Beneficiaries,Title,Subject/Genre,Subject/ICON,Object Type,Document Type,Object Notes,Inscription,Transaction,Date or Range,Document Origin,Residence,Room,Entry Date,Purchase Loc,Sale Date,Auction House,Sale Location,Purchase Price,KnoedShare Price,Dealer Cost,Sale Price,KnoedSale Price,Seller(s),Buyer(s),Joint Owner(s),Prev Owner(s),Prev Sales,Post Owner(s),Post Sales,Present Loc,Expert,Comm-Priseur,Lugt Number,Number of Lots,Notes,Catalog Loc(s),Photocopies,Editor Notes,Introduction,Archive Record,Related Doc(s),Further Notes,Bibliography,Appraiser,Notary,Pubication,Contributor,Other Invent(s),Annotations,Column 64,Column 65
"Sales Catalog Br-4740, Lot 0110",,,"HOBBEMA, MEINDERT (Dutch) -- from catalog: Hobbema",,,,,,,,,,,"A Dutch chateau, with sportsmen and dogs on a road; admirably coloured",,,Painting,,,,Bought In,,,,,,,1837 May 3,Christie's,"London, England, UK",,,,9-9 pounds,,Haydon;  -- from catalog: Haydon,,,,,,,,,,14698,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4747, Lot 0063",,,"CUYP, AELBERT (Dutch) -- from catalog: A. Cuyp",,,,,,,,,,,"The Manege, cavaliers exercising their horses in the grounds of a chateau, a group of peasants with dogs on the right; coloured in a fine rich tone",,,Painting,,,,Sold,,,,,,,1837 May 13,Christie's,"London, England, UK",,,,24-13 pounds,,,Edwards;  -- from catalog: Edwards,,,,,,,,,14714,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4859, Lot 0082",,,"GRYEF, ADRIAEN DE (Flemish) -- from catalog: Gryeff",,,,,,,,,,,"A pair of landscapes, with dogs and dead game in the foreground, and sportsmen in the distance",,,Painting,,,,Bought In,,,,,,,1838 Mar 17,Christie's,"London, England, UK",,,,10-10 pounds,,"Higgs, Edward;  -- from catalog: Edward Higgs Esq",,,,,,,,,,14979,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4840, Lot 0032",,,"GRYEF, ADRIAEN DE (Flemish) -- from catalog: Gryeff",,,,,,,,,,,Dogs and dead game,,,Painting,,,,Sold,,,,,,,1838 Feb 3,Christie's,"London, England, UK",,,,2-7 pounds,,"Harrison, C.;  -- from catalog: C Harrison",Nabb;  -- from catalog: Nabb,,,,,,,,,14920,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4765, Lot 0112",,,"HANCOCK, CHARLES (British) -- from catalog: Hancock",,,,,,,,,,,Dogs with a rat-trap,,,Painting,,,,Sold,,,,,,,1837 Jun 16 - 1837 Jun 17 (This Lot: Jun 17),Christie's,"London, England, UK",,,,1-12 pounds,,Gritten;  -- from catalog: Gritten,Holford;  -- from catalog: Holford,,,,,,,,,14756,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4771, Lot 0120",,,"NEER, EGLON HENDRIK VAN DER (Dutch) -- from catalog: Eglon v. der Neer",,,,,,,,,,,"Venus crowning Adonis with flowers, and Cupid with her car and dogs in attendance, in a richly wooded landscape",,,Painting,,,,Sold,,,,,,,1837 Jun 24,Christie's,"London, England, UK",,,,49-17 pounds,,Houlton;  -- from catalog: Houlton,Edwards;  -- from catalog: Edwards,,,1836/04/23 LOCH 0098 Br-4594,,,"Glasgow, Scotland, UK. Art Gallery and Museum, 59",,,14767,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4861, Lot 0010[H]",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,Portraits of a lady & gent.,,,Painting,,,,Sold,,,,,,,1838 Mar 19 - 1838 Mar 21 (This Lot: Mar 19),Christie's,"London, England, UK",,,,3-7 pounds,,"Davison, W.;  -- from catalog: Pall-Mall Gallery",Foster;  -- from catalog: Foster,,,,,,,,,14983,,,"The lot was changed by hand from A. Hondius, Dogs attacking a wild boar to Portraits of a lady & gent. in the CL copy of the catalogue.",,,,,,,,,,,,,,,
"Sales Catalog Br-4861, Lot 0010",,,"HONDIUS, ABRAHAM (Dutch) -- from catalog: A. Hondius",,,,,,,,,,,Dogs attacking a wild boar,,,Painting,,,,Withdrawn,,,,,,,1838 Mar 19 - 1838 Mar 21 (This Lot: Mar 19),Christie's,"London, England, UK",,,,,,"Davison, W.;  -- from catalog: Pall-Mall Gallery",,,,,,,,,,14983,,,"The lot was changed by hand from A. Hondius, Dogs attacking a wild boar to Portraits of a lady & gent. in the CL copy of the catalogue.",,,,,,,,,,,,,,,
"Sales Catalog Br-4862, Lot 0040",,,"HONDIUS, ABRAHAM (Dutch) -- from catalog: Hondius",,,,,,,,,,,Dogs attacking wild boars in a thicket; very spirited and capitally painted,,,Painting,,,,Sold,,,,,,,1838 Mar 24,Christie's,"London, England, UK",,,,11-0 pounds,,"Esdaile, William;  -- from catalog: William Esdaile Esq",Farrant;  -- from catalog: Farrant,,,,,,,,,14990,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4877, Lot 0254",,,"BERCHEM, NICOLAES PIETERSZ. (Dutch) -- from catalog: Berghem",,,,,,,,,,,"A Grand Italian Landscape, with buildings near a river; two mounted cavaliers are halting on a road, by the side of which are attendants with dogs; a group of trees under a rocky height are seen on the left.  This capital picture is illumined by a brilliant evening sun.  From the Collection of W. Smith, Esq., M.P.",,,Painting,,,,Sold,,,,,,,1838 Apr 27 - 1838 Apr 30 (This Lot: Apr 28),Christie's,"London, England, UK",,,,164-17 pounds,,"Dutton, John Vaughan;  -- from catalog: John Vaughan Dutton Esq",Bond;  -- from catalog: Bond,,"Smith, W. [from Catalogue: W. Smith, Esq., M.P.]",,,,,,,15044,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4877, Lot 0212",,,"PYNACKER, ADAM (Dutch) -- from catalog: Pynacker",,,,,,,,,,,"A grand landscape, with the ruins of a fortress and a waterfall; a mounted cavalier with sportsmen and dogs on a road; a warm evening effect",,,Painting,,,,Sold,,,,,,,1838 Apr 27 - 1838 Apr 30 (This Lot: Apr 28),Christie's,"London, England, UK",,,,19-19 pounds,,"Dutton, John Vaughan;  -- from catalog: John Vaughan Dutton Esq",Bond;  -- from catalog: Bond,,,,,,,,,15044,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4888, Lot 0253",,,"MORLAND, GEORGE (British) -- from catalog: Morland",,,,,,,,,,,"A landscape, with dogs running out of a yard, a man in a smock-frock near a shed, a river and cottages in the distance; a beautiful specimen",,,Painting,,,,Unknown,,,,,,,1838 May 14 - 1838 May 15 (This Lot: May 15),Christie's,"London, England, UK",,,,,,"Varley, J.B.;  -- from catalog: J B Varley",,,,,,,,,,15071,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4887, Lot 0039",,,"DENIS, SIMON ALEXANDRE CLÉMENT (Flemish) -- from catalog: Denis",,,,,,,,,,,"A Landscape:; a composition, in which the artist has introduced the Cascatelle of Tivoli, with Italian shepherd, dogs, sheep, and goats; copied from nature with great fidelity.  The artist was a native of Flanders, but settled in Rome, where he was some time about 1795, commissioned to paint this and the companion picture (companion to lot 40)",,,Painting,,,,Bought In,,,,,,,1838 May 12,Christie's,"London, England, UK",,,,77-14 pounds,,"Northwick, John Rushout, Sir, 2nd Baron;  -- from catalog: Rt Hon Lord Northwick",,,,,,,,,,15068,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4798, Lot 0396",,,"MORLAND, GEORGE (British) -- from catalog: Morland",,,,,,,,,,,Dogs quarrelling,,,Painting,,,,Sold,,,,,,,1837 Sep 11 - 1837 Sep 16 (This Lot: Sep 15),Christie's,"Tewkesbury, Gloucestershire, near, England, UK",,,,4-0 pounds,,"Shapland, Joseph, Rev.;  -- from catalog: Rev Joseph Shapland",Way;  -- from catalog: Way,,,,,,,,,14807,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4798, Lot 0198",,,"BERCHEM, NICOLAES PIETERSZ. (Dutch) -- from catalog: Berghem",,,,,,,,,,,"A landscape and figures, with a mounted cavalier and dogs -- small upright",,,Painting,,upright,,Sold,,,,,,,1837 Sep 11 - 1837 Sep 16 (This Lot: Sep 12),Christie's,"Tewkesbury, Gloucestershire, near, England, UK",,,,3-5 pounds,,"Shapland, Joseph, Rev.;  -- from catalog: Rev Joseph Shapland",Hepburn;  -- from catalog: Hepburn,,,,,,,,,14807,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4817, Lot 0004[b]",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,Dogs and a wild boar; a landscape; and nymphs and satyrs (THIS LOT: A landscape; and nymphs and satyrs; lot 4[a] by Beeldemacker),,,Painting,,,,Sold,,,,,,,1837 Dec 2,Christie's,"London, England, UK",,,,1-6 pounds (for lots 4[a] & 4[b]),,Lancefield;  -- from catalog: Lancefield,Edwards;  -- from catalog: Edwards,,,,,,,,,14863,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4817, Lot 0004[a]",,,BEELDEMAKER (Dutch) -- from catalog: Beeldemacker,,,,,,,,,,,Dogs and a wild boar; a landscape; and nymphs and satyrs (THIS LOT: Dogs and a wild boar; lot 4[b] by Anonymous),,,Painting,,,,Sold,,,,,,,1837 Dec 2,Christie's,"London, England, UK",,,,1-6 pounds (for lots 4[a] & 4[b]),,Lancefield;  -- from catalog: Lancefield,Edwards;  -- from catalog: Edwards,,,,,,,,,14863,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4821, Lot 0059",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,Two of dogs ( ),,,Painting,,,,Bought In,,,,,,,1837 Dec 9,Christie's,"London, England, UK",,,,1-3 pounds,,Scott;  -- from catalog: Scott,,,,,,,,,,14873,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4821, Lot 0110",,,"GRYEF, ADRIAEN DE (Flemish) -- from catalog: Gryeff",,,,,,,,,,,Dogs and dead game in a landscape; beautifully finished,,,Painting,,,,Bought In,,,,,,,1837 Dec 9,Christie's,"London, England, UK",,,,3-8 pounds,,"Harrison, Thomas Charles;  -- from catalog: Thomas Charles Harrison Esq",,,,,,,,,,14873,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4898, Lot 0049",,,"WOUWERMAN, PHILIPS (Dutch) -- from catalog: Philip Wouvermans",,,,,,,,,,,"Preparing for the Chace.  A grey horse, beautifully painted and richly caparisoned, held by a boy, is waiting for the rider; on the left a cavalier is mounting, the stirrup being held by a groom; on the right is another cavalier, already mounted, whose stirrup is being adjusted; two dogs in couples are on the right; in the middle distance, on a winding road, beneath the walls of the château, are the keeper and dogs in advance, with two other mounted sportsmen in the rear.  It is morning, and the atmosphere indicates the approach of a warm day.  From the collection of the Earl of Clanbrassil.  Panel",,,Painting,,"on panel, 15 h x 20 w",,Bought In,,,,,,,1838 Jun 9,Christie's,"London, England, UK",,,,51 pounds [or] guineas,,"Fletcher, Ralph;  -- from catalog: Raplh Fletcher Esq",,,"Clanbrassil, Earl of [from Catalogue: Earl of Clanbrassil]",,,,,,,15101,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4907, Lot 0005",,,"GRYEF, ADRIAEN DE (Flemish) -- from catalog: Gryeff",,,,,,,,,,,Dogs and game -- a pair,,,Painting,,,,Bought In,,,,,,,1838 Jun 23,Christie's,"London, England, UK",,,,1-10 pounds,,"Thompson, John Deas, Sir;  -- from catalog: Sir John Deas Thompson",,,,,,,,,,15122,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4938, Lot 0105",,,"MORLAND, GEORGE (British) -- from catalog: Morland",,,,,,,,,,,"A sportsman with two dogs, partridge-shooting; a capital specimen",,,Painting,,,,Bought In,,,,,,,1838 Nov 17,Christie's,"London, England, UK",,,,7-0 pounds,,,,,,,,,,,,15202,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4898, Lot 0054",,,"WIJNANTS, JAN (Dutch) -- from catalog: Wynants",,,,,,,,,,,"A summer afternoon, with the return of a hawking-party; on the right a road, beneath a high bank crowned with fine trees, winds towards and is lost in a broken and undulating country.  In a bend of the road is the party of a lady and gentleman, dogs, and huntsmen; two tired travellers are reposing on a yellow sand-bank on the declivity of the high hill, and looking on the scene. Engraved by Godfrey.  Panel",,,Painting,,"on panel, 10 h x 15 1/2 w",,Sold,,,,,,,1838 Jun 9,Christie's,"London, England, UK",,,,42-0 pounds,,"Fletcher, Ralph;  -- from catalog: Ralph Fletcher Esq","Sagden, E., Sir;  -- from catalog: Sir E Sagden",,,,,,,,,15101,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4898, Lot 0071",,,"KONINCK, PHILIPS DE (Dutch), and Lingelbach -- from catalog: De Konyngh","LINGELBACH, JOHANNES (Dutch), and Koninck, P. -- from catalog: John Lingelback",,,,,,,,,,"This rare and most extraordinary picture of Rembrandt's pupil is equal to anything of the kind the master himself ever did, and in the truth of local colour far exceeds him.  It is a vast landscape, brought into all the vigour of life by a perfect knowledge of the art.  In the front of the picture the bold broad foreground, glittering with light and vivid colour, and executed with a splendid and vigorous touch, is very striking; the rich effect greatly enhanced by a grand hunting-party, tastefully made to approach the spectator. in a curved line; the gamekeeper, a magnificent fellow, in advance, surrounded with hawks, followed by horse and foot, dogs, and a coach-and-six.  A clear blue rivulet agreeably breaks, without destroying the fine breadth of this brilliant foreground; the stream, winding by the side of the picturesque road, is lost in the shade of the middle distance.  Nearly the whole of this distance, involving the vast breadth of the landscape, is in deep, though clear shadow; here are sp",,,Painting,,"on canvas, 52 h x 63 1/2 w",,Sold,,,,,,,1838 Jun 9,Christie's,"London, England, UK",,,,588-0 pounds,,"Fletcher, Ralph;  -- from catalog: Ralph Fletcher Esq",Higginson;  -- from catalog: Higginson,,,,,,,,,15101,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4909, Lot 0078",,,"GRYEF, ADRIAEN DE (Flemish) -- from catalog: Gryeff",,,,,,,,,,,Dogs and dead game,,,Painting,,,,Bought In,,,,,,,1838 Jun 30,Christie's,"London, England, UK",,,,1-1 pounds,,Taggart;  -- from catalog: Mr Taggart,,,,,,,,,,15129,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4909, Lot 0085",,,"MORLAND, GEORGE (British) -- from catalog: Morland",,,,,,,,,,,"A sportsman with dogs, in a woody landscape",,,Painting,,,,Bought In,,,,,,,1838 Jun 30,Christie's,"London, England, UK",,,,5-0 pounds,,Taggart;  -- from catalog: Mr Taggart,,,,,,,,,,15129,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5101, Lot 0131",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,Dogs attacking a stag in a river,,,Painting,,,,Bought In,,,,,,,1840 Feb 8,Christie's,"London, England, UK",,,,18-18 pounds,,Spencer Stevens;  -- from catalog: Spencer Stevens 16 Billiter St,,,,,,,,,,15657,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5101, Lot 0130",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,Dogs fighting,,,Painting,,,,Bought In,,,,,,,1840 Feb 8,Christie's,"London, England, UK",,,,19-19 pounds,,Spencer Stevens;  -- from catalog: Spencer Stevens 16 Billiter St,,,,,,,,,,15657,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5101, Lot 0128",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,"Dogs pursuing foxes, in a landscape",,,Painting,,,,Bought In,,,,,,,1840 Feb 8,Christie's,"London, England, UK",,,,19-19 pounds,,Spencer Stevens;  -- from catalog: Spencer Stevens 16 Billiter St,,,,,,,,,,15657,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5101, Lot 0127",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,"A boar at the entrance of a wood, having repulsed the attack of some dogs",,,Painting,,,,Bought In,,,,,,,1840 Feb 8,Christie's,"London, England, UK",,,,21-0 pounds,,Spencer Stevens;  -- from catalog: Spencer Stevens 16 Billiter St,,,,,,,,,,15657,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5101, Lot 0050",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,Dogs in a butcher's shop; admirably painted,,,Painting,,,,Sold,,,,,,,1840 Feb 8,Christie's,"London, England, UK",,,,2-4 pounds,,"Temple, Cap.;  -- from catalog: Cap Temple","Waller, R.;  -- from catalog: R. Waller",,,,,,,,,15657,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5101, Lot 0035",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,"Interior, with two dogs and dead birds",,,Painting,,,,Bought In,,,,,,,1840 Feb 8,Christie's,"London, England, UK",,,,2-8 pounds,,"Temple, Cap.;  -- from catalog: Cap Temple",,,,,,,,,,15657,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5110, Lot 0058",,,"HACKAERT, JAN (Dutch), and Teniers, D. (II) -- from catalog: Hackaert","TENIERS, DAVID (THE YOUNGER) (Flemish), and Hackaert, J. -- from catalog: Teniers",,,,,,,,,,"A sportsman with two dogs on a road near a pool of water, at the entrance of a wood",,,Painting,,,,Withdrawn,,,,,,,1840 Mar 7,Christie's,"London, England, UK",,,,,,"Watson; Devonshire, Duke of;  -- from catalog: Watson; Duke of Devonshire",,,,,,,,,,15697,,,This lot was crossed out by hand in the CL copy of the catalogue.,,,,,,,,,,,,,,,
"Sales Catalog Br-5122, Lot 0061",,,"UTRECHT, ADRIAEN VAN (Flemish) -- from catalog: Van. Utrecht",,,,,,,,,,,"Diana, with dogs and game",,,Painting,,,,Sold,,,,,,,1840 Mar 28,Christie's,"London, England, UK",,,,13-13 pounds,,"William Hastings, Esq.;  -- from catalog: William Hastings Esq Deceased",Chaplin;  -- from catalog: Chaplin,,,,,,,,,15740,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5128, Lot 0094",,,"FYT, JAN (Flemish) -- from catalog: Fyt",,,,,,,,,,,Dogs in a butcher's shop,,,Painting,,,,Sold,,,,,,,1840 Apr 10,Christie's,"London, England, UK",,,,3-15 pounds,,"Taylor, Herbert, Lieut.-Gen. Sir;  -- from catalog: Lieut-Gen Sir Herbert Taylor G.C.B.",Taylor;  -- from catalog: Taylor,,,,,,,,,15762,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5128, Lot 0112",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,Dogs pursuing a hare,,,Painting,,,,Sold,,,,,,,1840 Apr 10,Christie's,"London, England, UK",,,,3-5 pounds,,"Taylor, Herbert, Lieut.-Gen. Sir;  -- from catalog: Lieut-Gen Sir Herbert Taylor G.C.B.","Rutley, John Lewis;  -- from catalog: Rutley",,,,,,,,,15762,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5129, Lot 0069",,,WOUWERMAN (Dutch) -- from catalog: Wouvermans,,,,,,,,,,,"Le-voyageur Allemand; horse-soldiers halting before a suttler's booth, one of them mounted on a white horse is drinking out of a jug, a trumpeter, and a young woman mounted behind him, two dogs playing in the foreground; and a travelling party assembled around a fire.  This capital picture, from the collections of the Duc de la Valliere, and Mr Purling, is engraved in Baquoy.  See Smith's Catalogue, No.42",,,Painting,,,,Bought In,,,,,,,1840 Apr 11,Christie's,"London, England, UK",,,,65-2 pounds,,"Yates, Ayton;  -- from catalog: Ayton Yates",,,"La Vallière, Louis-César de la Baume le Blanc, duc de [from Catalogue: Duc de la Valliere]; Purling, John [from Catalogue: Mr. Purling]",1801/02/17 LOWH 0094 PURLING Br-13,,,,,,15764,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5140, Lot 0061",,,"FYT, JAN (Flemish) -- from catalog: Fyt",,,,,,,,,,,Dogs and Dead Game,,,Painting,,,,Bought In,,,,,,,1840 May 16,Christie's,"London, England, UK",,,,13-13 pounds,,,,,,,,,,,,15819,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4881, Lot 0051",,,[ITALIAN] (Italian) -- from catalog: Italian,,,,,,,,,,,"The companion to the preceding (companion to lot 50, A Sportsman with Dogs and Dead Game)",,,Painting,,,,Sold,,,,,,,1838 May 4 - 1838 May  5 (This Lot: May  4),Phillips (Harry),"London, England, UK",,,,8-15 pounds,,"Phillips, Harry;  -- from catalog: S T",Dixcee;  -- from catalog: Dixcee,,,,,,,,,15055,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4881, Lot 0050",,,[ITALIAN] (Italian) -- from catalog: Italian,,,,,,,,,,,A Sportsman with Dogs and Dead Game (companion to lot 51),,,Painting,,,,Bought In,,,,,,,1838 May 4 - 1838 May  5 (This Lot: May  4),Phillips (Harry),"London, England, UK",,,,9-12 pounds,,"Phillips, Harry;  -- from catalog: S T",,,,,,,,,,15055,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4829, Lot 0079",,,"VINCKEBOONS, DAVID (Dutch) -- from catalog: Vinckenbooms. Born 1578. Died 1629",,,,,,,,,,,"A richly wooded Landscape, with Huntsmen, Horses, Dogs, &c.",,,Painting,,,,Unknown,,,,,,,"1838, dates unknown ",Anonymous,"London, England, UK",,,,,,Cumberland;  -- from catalog: Cumberland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4752, Lot 0155",,,"BERCHEM, NICOLAES PIETERSZ. (Dutch) -- from catalog: Berchem",,,,,,,,,,,"Le Depart pour la Chase.  A variety of horses, figures and dogs preparing to start for the chase; a capital picture -- engraved",,,Painting,,,,Unknown,,,,,,,1837 May 19 - 1837 May 20 (This Lot: May 20),Phillips (Harry),"London, England, UK",,,,122-17 pounds,,"Emmerson, Thomas;  -- from catalog: Thomas Emmerson Esq",,,,,,,,,,14726,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4752, Lot 0027",,,"VELDE, ADRIAEN VAN DE (Dutch) -- from catalog: A. Vandevelde",,,,,,,,,,,Ducks pursued by Dogs in the water,,,Painting,,,,Unknown,,,,,,,1837 May 19 - 1837 May 20 (This Lot: May 19),Phillips (Harry),"London, England, UK",,,,5-0 pounds,,"Emmerson, Thomas;  -- from catalog: Thomas Emmerson Esq",,,,,,,,,,14726,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4731, Lot 0193",,,"SWANEVELT, HERMAN VAN (Dutch), changed to Waterloo, A. -- from catalog: Swaneveldt","WATERLOO, ANTHONIE (Dutch), changed from Swanevelt -- from catalog: Waterloo",,,,,,,,,,"Landscape, Man on Horseback, with Dogs in the foreground",,,Painting,,1' 2 x 1' 2,,Unknown,,,,,,,1837 Apr 13 - 1837 Apr 15 (This Lot: Apr 15),Tait (Charles Bertram),"Edinburgh, Scotland, UK",,,,10-10 pounds,,,,,,,,,,,,14666,,,The artist's name was changed by hand from Swaneveldt to Waterloo in the BIB copy of the catalogue.,,,,,,,,,,,,,,,
"Sales Catalog Br-4602, Lot 0076",,,"COOPER, ABRAHAM (British) -- from catalog: Cooper, R.A.",,,,,,,,,,,The Bone of Contention.  A spirited representation of two fighting Dogs.  Engraved,,,Painting,,11 h x 1' 1 w [sight measure],,Unknown,,,,,,,1836 May 4 - 1836 May  7 (This Lot: May  5),Winstanley,"Manchester, England, UK",,,,,,"Greaves, John;  -- from catalog: John Greaves Esq",,,,,,,,,,14337,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4602, Lot 0050",,,"MORLAND, GEORGE (British) -- from catalog: George Morland",,,,,,,,,,,Fighting Dogs.  A spirited Sketch.  Engraved,,,Painting,,6 h x 7 w [sight measure],,Unknown,,,,,,,1836 May 4 - 1836 May  7 (This Lot: May  4),Winstanley,"Manchester, England, UK",,,,,,"Greaves, John;  -- from catalog: John Greaves Esq",,,,,,,,,,14337,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4881, Lot 0173",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,Two Dogs in a Larder,,,Painting,,,,Bought In,,,,,,,1838 May 4 - 1838 May  5 (This Lot: May  5),Phillips (Harry),"London, England, UK",,,,47-5 pounds,,"Phillips, Harry;  -- from catalog: S T",,,,1831/06/28 LOPH 0083 as Velazquez changed to Snyders PHILLIPS Br-3723,,,,,,15055,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4538, Lot 2856",,,BASSANO (Italian) -- from catalog: Bassano,,,,,,,,,,,"The Rich Man's Feast, and dogs licking the sores of Lazarus. Size 4 f. 2 in. by 2 f. 10 in. on canvass",,,Painting,,"on canvas, 4' 2 x 2' 10",,Unknown,,,,,,,1836 Feb 1 - 1836 Feb 19 (This Lot: Feb 17),Tait (Charles Bertram),"Edinburgh, Scotland, UK",,,,17-17 pounds,,"Sivright, Thomas;  -- from catalog: Thomas Sivright Esq",,,,,,,,,,14203,,,,,,,,,,,,,,,,,,
